Как называется столица Франции?|Париж
Сколько в сумме букв содержат русский и латинский алфавиты?|59  
Сколько городов СССР получили звание городов-героев, включая Брестскую крепость?|13  
Сколько карт используют при игре в бридж?|52  
Сколько мест в обычном плацкартном вагоне РЖД?|54  
Сколько минут длится каждый из трех периодов в хоккее с шайбой?|20  
Сколько минут составляют 1/5 часа?|12  
Сколько раз, согласно российскому законодательству, человек имеет право сменить свое имя?|Сколько угодно  
Сколько ребер у параллелепипеда?|12  
Сколько цифр содержит российский почтовый индекс?|6  
Сортом каких фруктов является кандиль?|Яблоки  
Сразу после написания какой картины у Репина начала сохнуть правая рука?|Иоанн Грозный убивает…  
Статуей какого бога являлся Колосс Родосский, считавшийся одним из семи чудес света?|Гелиоса  
Столицей какой африканской страны еще не так давно являлся город Лагос?|Нигерия  
Струны внутри рояля расположены горизонтально или вертикально?|Горизонтально  
Территория какой страны больше: Германии или Японии?|Японии  
Терция или секунда включает в себя большее количество звуков?|Терция  
Трефы или пики являются старшей мастью при игре в бридж?|Пики  
Трубы какого духового инструмента носят названия "чантер" и "бурдон"?|Волынки  
У какого из этих парусных судов всегда две мачты: бригантина или яхта?|Бригантина  
У какой планеты нет естественных спутников: у Марса или у Венеры?|У Венеры  
У какой птицы самый большой размах крыльев?|У альбатроса  
У солдат какой страны юбка является частью парадной формы одежды?|Греция  
Ущерб, который одно государство возмещает другому за совершенные правонарушения - это репарация или репатриация?|Репарация  
Фразу "Поэт в России - больше, чем поэт" написал Сергей Есенин или Евгений Евтушенко?|Евгений Евтушенко  
Химией или литературой увлекался знаменитый сыщик Шерлок Холмс?|Химией  
Хирургическое удаление нерва или цепочки нервов называют лоботомией или невротомией?|Невротомией  
Храм какой богини в Эфесе сжег Герострат: Артемиды или Афродиты?|Артемиды  
Царем какого греческого государства был Агамемнон, предводитель ахейского войска в Троянской войне?|Микен  
Чем для индейцев племени Навахо, служивших радистами во время Второй мировой войны, является хоган?|Жилищем  
Чем ударяет аукционист, подтверждая продажу лота?|Молотком  
Чем, согласно русской пословице, красна изба?|Пирогами  
Чему равен кубический корень из одного миллиона?|100  
Чему, до перехода на евро, равнялась 1/100 французского франка?|Сантиму  
Что больше: разность семи и четырех или частное шести и трех?|Разность 7 и 4  
Что больше: световой год или парсек?|Парсек  
Что в Украине продают в киосках, на которых можно увидеть вывеску "Тютюн": табак или фрукты?|Табак  
Что выращивали и Томас Джефферсон, и Джимми Картер до их избрания на пост президента США?|Арахис  
Что из этого требует доказательства: постулат или теорема?|Теорема  
Что измеряется в джоулях: энергия или мощность?|Энергия  
Что обещали родители дяди Федора за известие о его местонахождении?|Велосипед  
Что обычно изготавливается вручную, а не печатается в типографии: стенгазета или рекламный буклет?|Стенгазета
Что остается от Чеширского кота после его исчезновения?|Улыбка  
Что охватывает колеса танка: гусеница или ящерица?|Гусеница  
Что практически одновременно изобрели Попов и Маркони?|Радио  
Что принято зажигать и тушить на день рождения?|Свечи  
Что собирает нумизмат: марки или монеты?|Монеты  
Что такое бельканто: вокальный стиль или вид живописи?|Вокальный стиль  
Что является полной противоположностью акселератору?|Тормоз  
Что, согласно плану Гитлера, должно было возникнуть на месте Москвы после ее уничтожения?|Море  
Что, согласно пословице, должен знать всякий сверчок?|Свой шесток  
Чье имя носил МХАТ, когда в нем начинал работать Иннокентий Смоктуновский?|Максима Горького  
Чьим оруженосцем был Санчо Панса?|Дон Кихот  
Этолог или энтомолог занимается изучением поведения животных?|Этолог
